OutcomeId,EventId,OutcomeName,TriggerCondition,ResourceDelta,BondDelta,KarmaDelta,NpcStateDelta,TownStateDelta,FollowUpEventIds,HistorySummaryKey,Description
out_intro_heaven_notice,intro_heaven_notice,绩效任务开启,always,"divine_power:+0;incense:+0",none,none,"tudi_gong:mission_started",none,none,event.intro_heaven_notice.summary,玩家获得60天考核目标和命运织线器
out_intro_underworld_whisper,intro_underworld_whisper,地府路线开放,always,"yin_de:+0",none,none,"tudi_gong:underworld_contacted",none,none,event.intro_underworld_whisper.summary,地府诱惑成为阴德路线的叙事入口
out_w1_chaoyin_study_good,w1_chaoyin_study,互相鼓励,blessing_or_no_risk,"yang_de:+1;divine_power:-3","bond_chaoyin_yuanzhou:+3","chaoyin_witch_line:+2;yuanzhou_leave_line:+2","lin_chaoyin:stress-3;chen_yuanzhou:stress-3",none,none,event.w1_chaoyin_study.good,两名学生获得短暂安心
out_w1_chaoyin_study_neutral,w1_chaoyin_study,普通复习,default,"incense:+0","bond_chaoyin_yuanzhou:+1","yuanzhou_leave_line:+1",none,none,none,event.w1_chaoyin_study.neutral,日常关系轻微增长
out_w2_gus_arrive_hidden,w2_gus_cult_arrive,外来者站稳脚跟,default,"cult_influence:+8","bond_he_laosan_guchenzhou:+8","guchenzhou_cult_line:+10","gu_chenzhou:settled;he_laosan:secret_contact",none,w2_port_anomaly,event.w2_gus_arrive.hidden,顾沉舟顺利完成身份伪装
out_w2_gus_arrive_watched,w2_gus_cult_arrive,夜船被注意,insight_or_warning,"divine_power:-1;yang_de:+2;cult_influence:+4","bond_he_laosan_zhouxingzhi:+5","guchenzhou_cult_line:+5","zhou_xingzhi:night_boat_hint",none,w2_port_anomaly,event.w2_gus_arrive.watched,玩家提前获得夜船异常线索
out_w2_chenhai_approach_risk,w2_gus_approach_chenhai,怨气被利用,default,"cult_influence:+5","bond_chenhai_guchenzhou:+10;bond_yuanzhou_chenhai:-3","chenhai_cult_line:+8","chen_haisheng:resentment+8",none,w3_gus_contact_chenhai,event.w2_chenhai_approach.risk,陈海生对顾沉舟的话产生兴趣
out_w2_chenhai_approach_resist,w2_gus_approach_chenhai,心头一冷,dream_hint,"divine_power:-2;yang_de:+2;cult_influence:+2","bond_chenhai_guchenzhou:+3","chenhai_cult_line:+3","chen_haisheng:warning_dream",none,none,event.w2_chenhai_approach.resist,托梦让陈海生暂时警惕顾沉舟
out_w3_witch_candidate_accept,w3_witch_candidate,巫女压力上升,default,"temple_trust:+4","bond_chaoyin_huiyuan:+8;bond_chaoyin_yuanzhou:-2","chaoyin_witch_line:+10","lin_chaoyin:faith_pressure+10;lin_chaoyin:stress+8",none,w4_lin_respond_witch,event.w3_witch_candidate.accept,林潮音被推到信仰舞台中央
out_w3_witch_candidate_soften,w3_witch_candidate,压力被缓冲,blessing_or_fate_pull,"divine_power:-3;yang_de:+3;temple_trust:+2","bond_chaoyin_huiyuan:+3;bond_chaoyin_yuanzhou:+2","chaoyin_witch_line:+5","lin_chaoyin:stress+3;lin_chaoyin:supported",none,w4_lin_respond_witch,event.w3_witch_candidate.soften,巫女压力仍在但林潮音感到有人支持
out_w3_chenhai_tantrum_bad,w3_chenhai_tantrums,家庭裂痕扩大,default,"incense:-1","bond_yuanzhou_chenhai:-5;bond_chenhai_suwan:-4","chenhai_cult_line:+5","chen_haisheng:stress+8;su_wan:stress+5;chen_yuanzhou:stress+4",none,w6_chenhai_family_conflict,event.w3_chenhai_tantrum.bad,家庭冲突推高陈海生风险
out_w3_chenhai_tantrum_help,w3_chenhai_tantrums,争吵被按下,blessing,"divine_power:-3;yang_de:+2","bond_yuanzhou_chenhai:-1;bond_chenhai_suwan:-1","chenhai_cult_line:+1","chen_haisheng:stress+2;su_wan:supported",none,none,event.w3_chenhai_tantrum.help,赐福不能解决根因但降低当次伤害
out_w4_xuqing_clinic_clue,w4_xuqing_clinic_anomaly,许晴发现线索,insight_or_no_hide,"yang_de:+2","bond_xuqing_jiangxueyi:-5;bond_xumingchuan_xuqing:+3","guchenzhou_cult_line:-2","xu_qing:clinic_suspicion;jiang_xueyi:cautious","public_order:+2",w7_xuming_evidence_chain,event.w4_xuqing_clinic.clue,许晴把诊所异常带入侦探线
out_w4_xuqing_clinic_missed,w4_xuqing_clinic_anomaly,线索被错过,omen_hide,"divine_power:-3;yin_de:+2","bond_xuqing_jiangxueyi:+3","guchenzhou_cult_line:+4","xu_qing:confused","cult_influence:+3",none,event.w4_xuqing_clinic.missed,遮蔽灾兆让诊所线索暂时消失
out_w4_secret_meeting_grows,w4_gus_secret_meeting,秘密聚会扩大,default,"cult_influence:+10","bond_chenhai_guchenzhou:+8","guchenzhou_cult_line:+10;chenhai_cult_line:+6","chen_haisheng:cult_contact;gu_chenzhou:network_growth",none,w5_gus_secret_gathering,event.w4_secret_meeting.grows,邪教网络进入成长期
out_w4_secret_meeting_warned,w4_gus_secret_meeting,聚会被惊扰,spirit_warning,"divine_power:-5;yang_de:+4;cult_influence:+4","bond_chenhai_guchenzhou:+3","guchenzhou_cult_line:+4;chenhai_cult_line:+2","gu_chenzhou:watched;chen_haisheng:shaken","public_order:+2",none,event.w4_secret_meeting.warned,显灵警示打断聚会但暴露神明关注
out_w4_agreement_good,w4_yuanzhou_chaoyin_agreement,海边约定稳固,default_if_bond>=60,"yang_de:+2","bond_chaoyin_yuanzhou:+8","chaoyin_witch_line:+4;yuanzhou_leave_line:+8","lin_chaoyin:hopeful;chen_yuanzhou:hopeful",none,w6_chaoyin_yuanzhou_relation_turn,event.w4_agreement.good,两人对未来形成明确约定
out_w4_agreement_fragile,w4_yuanzhou_chaoyin_agreement,约定变得脆弱,default_if_bond<60,"incense:-1","bond_chaoyin_yuanzhou:+2","chaoyin_witch_line:+6;yuanzhou_leave_line:+3","lin_chaoyin:uncertain;chen_yuanzhou:anxious",none,w6_chaoyin_yuanzhou_relation_turn,event.w4_agreement.fragile,两人的心意存在但被压力削弱
out_w5_disaster_dream_seen,w5_disaster_dream,天灾预兆确认,always,"divine_power:+3","none","none","tudi_gong:disaster_known","public_order:+0",w8_final_venue_decision,event.w5_disaster_dream.seen,玩家明确知道第60天天灾会到来
out_w5_chenhai_join,w5_chenhai_first_cult,陈海生入局,default,"cult_influence:+8;yin_de:+0","bond_chenhai_guchenzhou:+12;bond_chenhai_suwan:-4","chenhai_cult_line:+12","chen_haisheng:cult_participant;chen_haisheng:stress+8",none,w6_fire_tendency,event.w5_chenhai_join.bad,陈海生第一次正式参加邪教活动
out_w5_chenhai_pullback,w5_chenhai_first_cult,陈海生退缩,dream_hint_or_fate_pull,"divine_power:-2;yang_de:+3;cult_influence:+3","bond_chenhai_guchenzhou:+4;bond_chenhai_suwan:+2","chenhai_cult_line:+4","chen_haisheng:hesitated",none,none,event.w5_chenhai_join.pullback,陈海生仍被诱惑但没有完全踏进去
out_w5_temple_account_exposed,w5_temple_account_issue,账目疑点成线索,default,"temple_trust:-5","bond_zhouxingzhi_huiyuan:-8","huiyuan_temple_line:+8","zhou_xingzhi:temple_account_clue;huiyuan:nervous","public_order:+1",w7_huiyuan_exposed,event.w5_temple_account.exposed,寺庙腐败线进入可调查状态
out_w6_family_conflict_bad,w6_chenhai_family_conflict,家庭冲突激化,default,"incense:-3;cult_influence:+4","bond_yuanzhou_chenhai:-10;bond_chenhai_suwan:-8","chenhai_cult_line:+10;yuanzhou_leave_line:+4","chen_haisheng:fire_risk+15;su_wan:fear;chen_yuanzhou:anger",none,w6_fire_tendency,event.w6_family_conflict.bad,陈家冲突大幅推高火灾风险
out_w6_family_conflict_soft,w6_chenhai_family_conflict,有人说出真话,dream_hint_or_blessing,"divine_power:-2;yang_de:+4","bond_yuanzhou_chenhai:-3;bond_chenhai_suwan:-2","chenhai_cult_line:+3;yuanzhou_leave_line:+5","chen_haisheng:fire_risk+4;su_wan:heard;chen_yuanzhou:resolved",none,none,event.w6_family_conflict.soft,冲突没有消失但伤害被控制
out_w6_fire_tendency_gameover,w6_fire_tendency,火灾失控,fire_risk>=90,"incense:-30;public_order:-20;temple_trust:-15","bond_yuanzhou_chenhai:-20;bond_chenhai_suwan:-20","chenhai_cult_line:+20","chen_haisheng:catastrophe;su_wan:trauma;chen_yuanzhou:trauma","public_order:-20",game_over_fire,event.w6_fire_tendency.gameover,强硬Game Over候选结果
out_w6_fire_tendency_prevented,w6_fire_tendency,火苗被压下,spirit_warning_or_bond_high,"divine_power:-5;yang_de:+6","bond_yuanzhou_chenhai:+4;bond_chenhai_suwan:+4","chenhai_cult_line:-5","chen_haisheng:fire_risk-20;chen_haisheng:shaken","public_order:+5",none,event.w6_fire_tendency.prevented,高成本警示阻止火灾失控
out_w7_evidence_chain_success,w7_xuming_evidence_chain,证据链成型,clinic_clue_and_night_boat_clue,"yang_de:+5","bond_zhouxingzhi_xumingchuan:+8;bond_xumingchuan_zhao:+5","guchenzhou_cult_line:-10","xu_mingchuan:evidence_ready;zhou_xingzhi:trusted","public_order:+10",w8_evidence_final_check,event.w7_evidence_chain.success,侦探线能在终局前制衡顾沉舟
out_w7_evidence_chain_weak,w7_xuming_evidence_chain,证据不足,missing_key_clue,"cult_influence:+4","bond_zhouxingzhi_xumingchuan:+2","guchenzhou_cult_line:+4","xu_mingchuan:evidence_weak","public_order:-2",w8_evidence_final_check,event.w7_evidence_chain.weak,证据链不足导致终局制衡变弱
out_w7_chenhai_choice_return,w7_chenhai_critical_choice,回头看见家人,bond_family>=45,"yang_de:+6;cult_influence:-4","bond_yuanzhou_chenhai:+8;bond_chenhai_suwan:+8","chenhai_cult_line:-12","chen_haisheng:left_cult;chen_haisheng:fire_risk-20",none,w8_fire_risk_assessment,event.w7_chenhai_choice.return,陈海生从邪教边缘退回家庭
out_w7_chenhai_choice_fall,w7_chenhai_critical_choice,彻底倒向新信仰,bond_chenhai_guchenzhou>=65,"yin_de:+3;cult_influence:+10","bond_yuanzhou_chenhai:-12;bond_chenhai_suwan:-10;bond_chenhai_guchenzhou:+8","chenhai_cult_line:+15","chen_haisheng:cult_committed;chen_haisheng:fire_risk+20",none,w8_fire_risk_assessment,event.w7_chenhai_choice.fall,陈海生成为终局风险放大器
out_w8_final_venue_temple,w8_final_venue_decision,最终聚集寺庙,temple_trust>=45,"incense:+3","none","huiyuan_temple_line:+3","town:final_venue_temple","temple_trust:+2",final_day_approaches_temple,event.w8_final_venue.temple,小镇选择在寺庙聚集迎接灾前庙会
out_w8_final_venue_plaza,w8_final_venue_decision,最终聚集广场,temple_trust<45,"incense:-2","none","huiyuan_temple_line:-5","town:final_venue_plaza","public_order:+3;temple_trust:-5",final_day_approaches_temple,event.w8_final_venue.plaza,旧信仰被质疑后终局聚集转向广场
out_w8_fire_risk_safe,w8_fire_risk_assessment,火灾风险可控,fire_risk<70,"yang_de:+2","none","chenhai_cult_line:-3","chen_haisheng:fire_risk_controlled","public_order:+3",none,event.w8_fire_risk.safe,终局前火灾风险被压到可控范围
out_w8_fire_risk_danger,w8_fire_risk_assessment,火灾风险高悬,fire_risk>=70,"incense:-3","none","chenhai_cult_line:+5","chen_haisheng:fire_risk_high","public_order:-3",none,event.w8_fire_risk.danger,终局仍存在强硬失败风险
out_final_disaster_survive,final_earthquake_hits,灾难中守住人心,incense>=100_and_public_order>=40,"incense:+0;yang_de:+5","all_visible_good_bonds:+2","all_core_lines:+2","town:disaster_survived","public_order:-10",final_aftermath_settles,event.final_disaster.survive,小镇承受灾难但没有彻底崩溃
out_final_disaster_fail_incense,final_earthquake_hits,香火崩塌,incense<100,"incense:-999","none","none","tudi_gong:godhood_lost","public_order:-20",game_over_incense,event.final_disaster.fail_incense,土地公因香火不足失去神格
out_final_aftermath_righteous,final_aftermath_settles,正神路线结算,yang_de>=yin_de+20,"yang_de:+0","good_bonds:+3","good_endings:+1","town:righteous_route",none,final_ai_ending_dialogue,event.final_aftermath.righteous,以守护和修复为主的结局路线
out_final_aftermath_evil,final_aftermath_settles,邪神路线结算,yin_de>=yang_de+20,"yin_de:+0","fear_bonds:+2","evil_endings:+1","town:evil_route","cult_influence:+10",final_ai_ending_dialogue,event.final_aftermath.evil,以操控和遮蔽为主的结局路线
out_final_aftermath_neutral,final_aftermath_settles,中性路线结算,abs_yang_yin<20,"incense:+0","mixed_bonds:+1","mixed_endings:+1","town:neutral_route",none,final_ai_ending_dialogue,event.final_aftermath.neutral,玩家勉强守住小镇但未形成明确神格方向
out_final_aftermath_legend,final_aftermath_settles,传奇路线结算,incense>=150_and_yang_de>=80_and_good_npc>=4,"incense:+0;yang_de:+0","core_bonds:+5","legend_route:+1","town:legend_route","public_order:+10;temple_trust:+10",final_ai_ending_dialogue,event.final_aftermath.legend,土地公成为真正被记住的守护神
